subjectid,responseid,block,trial,stimulus,colormap,colorCategorization,vis,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,modelChoice,selectedCanvas,responseTime,generationTime
1559,63969,1,5,5,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,1313085,992
1559,63970,1,6,6,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,3101,1032
1559,63971,1,7,7,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,2538,960
1559,63972,1,8,8,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,5906,1008
1559,63973,1,9,9,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,10085,1005
1559,63974,1,10,10,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,6070,1028
1559,63975,1,11,11,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,6753,968
1559,63976,1,12,12,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,4611,971
1560,63185,2,1,13,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,3,12448,783
1560,63186,2,2,14,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,3814,756
1560,63187,2,3,15,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,8224,796
1560,63188,2,4,16,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,5,4566,723
1560,63189,2,5,17,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,2,11061,883
1560,63190,2,6,18,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,7431,813
1560,63191,2,7,19,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,4,4264,880
1560,63192,2,8,20,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,5537,868
1560,63193,2,9,21,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,5,4691,807
1560,63194,2,10,22,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,3,12789,806
1560,63195,2,11,23,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,7492,733
1560,63196,2,12,24,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,89978,855
1560,63197,3,1,25,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,21362,752
1560,63198,3,2,26,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,7326,816
1560,63199,3,3,27,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,8380,758
